DATETIME,DEPTH,TEMP
2018-06-28,1,NA
2018-06-28,1.10880000000003,25.6415555555556
2018-06-28,1.60880000000003,24.4706666666667
2018-06-29,1,NA
2018-06-29,1.10590000000002,26.4517083333333
2018-06-29,1.60590000000002,24.89975
2018-06-30,1,NA
2018-06-30,1.10270000000003,28.411875
2018-06-30,1.60270000000003,25.9172916666667
2018-07-01,1,NA
2018-07-01,1.09980000000002,28.144625
2018-07-01,1.59980000000002,27.0925
2018-07-02,1,NA
2018-07-02,1.09420000000006,26.8045833333333
2018-07-02,1.59420000000006,26.2082916666667
2018-07-03,1,NA
2018-07-03,1.09040000000005,28.0675833333333
2018-07-03,1.59040000000005,27.0592083333333
2018-07-04,1,NA
2018-07-04,1.08510000000001,28.3715416666667
2018-07-04,1.58510000000001,27.6272916666667
2018-07-05,1,NA
2018-07-05,1.08140000000003,28.2377916666667
2018-07-05,1.58140000000003,28.1097916666667
2018-07-06,1,NA
2018-07-06,1.07360000000006,27.58675
2018-07-06,1.57360000000006,27.19725
2018-07-07,1,NA
2018-07-07,1.06750000000005,27.23125
2018-07-07,1.56750000000005,26.7752916666667
2018-07-08,1,NA
2018-07-08,1.06310000000002,27.0943333333333
2018-07-08,1.56310000000002,26.542875
2018-07-09,1,NA
2018-07-09,1.05760000000004,27.5197916666667
2018-07-09,1.55760000000004,26.7547083333333
2018-07-10,1,NA
2018-07-10,1.05400000000003,27.8225416666667
2018-07-10,1.55400000000003,27.279875
2018-07-11,1,NA
2018-07-11,1.04900000000004,27.6054166666667
2018-07-11,1.54900000000004,27.3391666666667
2018-07-12,1,NA
2018-07-12,1.04560000000004,27.1322083333333
2018-07-12,1.54560000000004,26.9195
2018-07-13,1,NA
2018-07-13,1.04500000000002,27.2465
2018-07-13,1.54500000000002,27.0845416666667
2018-07-14,1,NA
2018-07-14,1.04220000000004,27.7232916666667
2018-07-14,1.54220000000004,27.4679583333333
2018-07-15,1,NA
2018-07-15,1.03940000000006,28.3003333333333
2018-07-15,1.53940000000006,27.9772916666667
2018-07-16,1,NA
2018-07-16,1.03410000000002,28.46375
2018-07-16,1.53410000000002,28.473125
2018-07-17,1,NA
2018-07-17,1.02730000000003,27.8617083333333
2018-07-17,1.52730000000003,27.6824166666667
2018-07-18,1,NA
2018-07-18,1.02170000000001,27.329375
2018-07-18,1.52170000000001,27.2259583333333
2018-07-19,1,NA
2018-07-19,1.01820000000004,26.7436666666667
2018-07-19,1.51820000000004,26.6857083333333
2018-07-20,1,NA
2018-07-20,1.07340000000005,25.3534583333333
2018-07-20,1.57340000000005,25.3735416666667
2018-07-21,1,NA
2018-07-21,1.12490000000003,24.298375
2018-07-21,1.62490000000003,24.2059583333333
2018-07-22,1,NA
2018-07-22,1.12190000000004,24.13625
2018-07-22,1.62190000000004,23.9048333333333
2018-07-23,1,NA
2018-07-23,1.11930000000001,24.9674583333333
2018-07-23,1.61930000000001,24.5471666666667
2018-07-24,1,NA
2018-07-24,1.11580000000004,25.78125
2018-07-24,1.61580000000004,25.6440833333333
2018-07-25,1,NA
2018-07-25,1.11460000000005,25.855125
2018-07-25,1.61460000000005,25.7250416666667
2018-07-26,1,NA
2018-07-26,1.12170000000003,24.9064583333333
2018-07-26,1.62170000000003,24.925625
2018-07-27,1,NA
2018-07-27,1.1157,23.8143333333333
2018-07-27,1.6157,23.7260416666667
2018-07-28,1,NA
2018-07-28,1.11200000000002,23.7445833333333
2018-07-28,1.61200000000002,23.49175
2018-07-29,1,NA
2018-07-29,1.10890000000001,24.2226666666667
2018-07-29,1.60890000000001,23.9880416666667
2018-07-30,1,NA
2018-07-30,1.10420000000005,24.6560416666667
2018-07-30,1.60420000000005,24.4302083333333
2018-07-31,1,NA
2018-07-31,1.10120000000001,24.9250833333333
2018-07-31,1.60120000000001,24.6989583333333
2018-08-01,1,NA
2018-08-01,1.10080000000005,25.0517916666667
2018-08-01,1.60080000000005,24.941625
2018-08-02,1,NA
2018-08-02,1.11000000000001,24.4571666666667
2018-08-02,1.61000000000001,24.4067083333333
2018-08-03,1,NA
2018-08-03,1.10720000000003,24.014
2018-08-03,1.60720000000003,23.959875
2018-08-04,1,NA
2018-08-04,1.10650000000004,24.1892083333333
2018-08-04,1.60650000000004,24.0462916666667
2018-08-05,1,NA
2018-08-05,1.11040000000003,24.7245416666667
2018-08-05,1.61040000000003,24.52975
2018-08-06,1,NA
2018-08-06,1.10950000000003,25.2083333333333
2018-08-06,1.60950000000003,25.082
2018-08-07,1,NA
2018-08-07,1.10740000000004,25.0234166666667
2018-08-07,1.60740000000004,24.9699583333333
2018-08-08,1,NA
2018-08-08,1.10350000000005,25.1715833333333
2018-08-08,1.60350000000005,24.9500416666667
2018-08-09,1,NA
2018-08-09,1.09960000000001,25.926125
2018-08-09,1.59960000000001,25.6189583333333
2018-08-10,1,NA
2018-08-10,1.09440000000001,26.753875
2018-08-10,1.59440000000001,26.4319583333333
2018-08-11,1,NA
2018-08-11,1.09050000000002,27.0845
2018-08-11,1.59050000000002,26.7835416666667
2018-08-12,1,NA
2018-08-12,1.08720000000005,27.3833333333333
2018-08-12,1.58720000000005,27.0898333333333
2018-08-13,1,NA
2018-08-13,1.08150000000001,27.615125
2018-08-13,1.58150000000001,27.3467916666667
2018-08-14,1,NA
2018-08-14,1.07820000000004,27.8324583333333
2018-08-14,1.57820000000004,27.643125
2018-08-15,1,NA
2018-08-15,1.07250000000005,27.8861666666667
2018-08-15,1.57250000000005,27.6544166666667
2018-08-16,1,NA
2018-08-16,1.06930000000006,27.532
