time,flow
2012-01-01,0.0135859941147524
2012-01-02,0.0135834276498021
2012-01-03,0.0135809599432857
2012-01-04,0.0135786897536367
2012-01-05,0.0135767158392889
2012-01-06,0.0135751369586762
2012-01-07,0.0135740518702321
2012-01-08,0.0135735593323906
2012-01-09,0.0135737581035852
2012-01-10,0.0135747469422499
2012-01-11,0.0135766246068182
2012-01-12,0.013579489855724
2012-01-13,0.013583441447401
2012-01-14,0.013588578140283
2012-01-15,0.0135949986928036
2012-01-16,0.0136028018633967
2012-01-17,0.013612086410496
2012-01-18,0.0136229510925352
2012-01-19,0.0136354946679481
2012-01-20,0.0136498158951685
2012-01-21,0.01366601353263
2012-01-22,0.0136841863387664
2012-01-23,0.0137044330720115
2012-01-24,0.013726852490799
2012-01-25,0.0137515433535627
2012-01-26,0.0137786044187362
2012-01-27,0.0138081344447534
2012-01-28,0.0138402321900481
2012-01-29,0.0138749964130538
2012-01-30,0.0139125258722044
2012-01-31,0.0139529193259337
2012-02-01,0.0139962755326754
2012-02-02,0.014042613868775
2012-02-03,0.0140916361822254
2012-02-04,0.0141429649389315
2012-02-05,0.0141962226047978
2012-02-06,0.0142510316457293
2012-02-07,0.0143070145276305
2012-02-08,0.0143637937164062
2012-02-09,0.0144209916779612
2012-02-10,0.0144782308782001
2012-02-11,0.0145351337830278
2012-02-12,0.0145913228583489
2012-02-13,0.0146464205700681
2012-02-14,0.0147000493840903
2012-02-15,0.0147518317663201
2012-02-16,0.0148013901826623
2012-02-17,0.0148483470990216
2012-02-18,0.0148923249813027
2012-02-19,0.0149329462954104
2012-02-20,0.0149698335072493
2012-02-21,0.0150026090827243
2012-02-22,0.0150308954877401
2012-02-23,0.0150543151882013
2012-02-24,0.0150724906500128
2012-02-25,0.0150850443390792
2012-02-26,0.0150915987213053
2012-02-27,0.0150917762625959
2012-02-28,0.0150851994288555
2012-02-29,0.0150714906859891
2012-03-01,0.0150502724999013
2012-03-02,0.0150213096397334
2012-03-03,0.0149849360875731
2012-03-04,0.0149416281287446
2012-03-05,0.0148918620485723
2012-03-06,0.0148361141323804
2012-03-07,0.0147748606654932
2012-03-08,0.0147085779332349
2012-03-09,0.0146377422209297
2012-03-10,0.014562829813902
2012-03-11,0.014484316997476
2012-03-12,0.014402680056976
2012-03-13,0.0143183952777262
2012-03-14,0.0142319389450509
2012-03-15,0.0141437873442743
2012-03-16,0.0140544167607208
2012-03-17,0.0139643034797146
2012-03-18,0.0138739237865799
2012-03-19,0.013783753966641
2012-03-20,0.0136942703052221
2012-03-21,0.0136059490876476
2012-03-22,0.0135192665992417
2012-03-23,0.0134346991253287
2012-03-24,0.0133527229512328
2012-03-25,0.0132738143622782
2012-03-26,0.0131984496437893
2012-03-27,0.0131271050810903
2012-03-28,0.0130602569595055
2012-03-29,0.0129983815643591
2012-03-30,0.0129419551809754
2012-03-31,0.0128914540946786
2012-04-01,0.0128473545907931
2012-04-02,0.0128099717222376
2012-04-03,0.012778975612309
2012-04-04,0.0127538751518988
2012-04-05,0.0127341792318986
2012-04-06,0.0127193967431997
2012-04-07,0.0127090365766936
2012-04-08,0.0127026076232718
2012-04-09,0.0126996187738257
2012-04-10,0.0126995789192469
2012-04-11,0.0127019969504268
2012-04-12,0.0127063817582568
2012-04-13,0.0127122422336285
2012-04-14,0.0127190872674333
2012-04-15,0.0127264257505626
2012-04-16,0.012733766573908
2012-04-17,0.0127406186283609
2012-04-18,0.0127464908048127
2012-04-19,0.012750891994155
2012-04-20,0.0127533310872792
2012-04-21,0.0127533169750768
2012-04-22,0.0127503585484392
2012-04-23,0.0127439646982579
2012-04-24,0.0127336443154245
2012-04-25,0.0127189062908302
2012-04-26,0.0126992595153667
2012-04-27,0.0126742128799254
2012-04-28,0.0126432752753977
2012-04-29,0.0126059555926752
2012-04-30,0.0125617627226492
2012-05-01,0.0125102055562113
2012-05-02,0.0124509675833091
2012-05-03,0.0123844306901151
2012-05-04,0.0123111513618578
2012-05-05,0.0122316860837659
2012-05-06,0.012146591341068
2012-05-07,0.0120564236189927
2012-05-08,0.0119617394027687
2012-05-09,0.0118630951776245
2012-05-10,0.0117610474287887
2012-05-11,0.0116561526414901
2012-05-12,0.0115489673009571
2012-05-13,0.0114400478924184
2012-05-14,0.0113299509011027
2012-05-15,0.0112192328122386
2012-05-16,0.0111084501110546
2012-05-17,0.0109981592827794
2012-05-18,0.0108889168126416
2012-05-19,0.0107812791858698
2012-05-20,0.0106758028876926
2012-05-21,0.0105730444033387
2012-05-22,0.0104735602180367
2012-05-23,0.0103779068170152
2012-05-24,0.0102866406855027
2012-05-25,0.010200318308728
2012-05-26,0.0101194961719196
2012-05-27,0.0100447307603062
2012-05-28,0.00997657855911638
2012-05-29,0.00991559605357873
2012-05-30,0.00986233972892189
2012-05-31,0.00981736607037447
2012-06-01,0.00978123156316509
2012-06-02,0.00975431428869834
2012-06-03,0.00973627871308261
2012-06-04,0.00972661089860226
2012-06-05,0.00972479690754168
2012-06-06,0.00973032280218521
2012-06-07,0.00974267464481723
2012-06-08,0.0097613384977221
2012-06-09,0.00978580042318418
2012-06-10,0.00981554648348785
2012-06-11,0.00985006274091746
2012-06-12,0.00988883525775739
2012-06-13,0.00993135009629199
2012-06-14,0.00997709331880563
2012-06-15,0.0100255509875827
2012-06-16,0.0100762091649075
2012-06-17,0.0101285539130645
2012-06-18,0.0101820712943379
2012-06-19,0.0102362473710122
2012-06-20,0.0102905682053718
2012-06-21,0.010344519859701
2012-06-22,0.0103975883962841
2012-06-23,0.0104492598774055
