time,flow,temp
2012-01-01,6.47328354262018e-05,9.132720747
2012-01-02,6.3552957178272e-05,9.119438542
2012-01-03,6.23713611329921e-05,9.105671528
2012-01-04,6.11863294930121e-05,9.092371788
2012-01-05,5.99961444609817e-05,9.080059635
2012-01-06,5.87990882395509e-05,9.065313194
2012-01-07,5.75934430313696e-05,9.046562587
2012-01-08,5.63774910390877e-05,9.030281337
2012-01-09,5.5149514465355e-05,9.021064757
2012-01-10,5.39077955128216e-05,9.007758333
2012-01-11,5.26506163841373e-05,8.993948351
2012-01-12,5.13762592819519e-05,8.980482031
2012-01-13,5.00830064089155e-05,8.967016406
2012-01-14,4.87691399676778e-05,8.954565712
2012-01-15,4.74329421608888e-05,8.941146181
2012-01-16,4.60726951911983e-05,8.92727934
2012-01-17,4.46866812612564e-05,8.914307552
2012-01-18,4.32731825737128e-05,8.899194565
2012-01-19,4.18304813312175e-05,8.887146701
2012-01-20,4.03568597364204e-05,8.873432465
2012-01-21,3.88505999919714e-05,8.859861198
2012-01-22,3.73099843005203e-05,8.846851649
2012-01-23,3.57332948647171e-05,8.832152257
2012-01-24,3.41188138872117e-05,8.818774132
2012-01-25,3.24648235706539e-05,8.804836979
2012-01-26,3.07696061176937e-05,8.790504948
2012-01-27,2.9031443730981e-05,8.776591146
2012-01-28,2.72486186131656e-05,8.761384896
2012-01-29,2.54194129668975e-05,8.746490799
2012-01-30,2.35421089948266e-05,8.732046181
2012-01-31,2.16149888996027e-05,8.716753819
2012-02-01,1.96363348838758e-05,8.702611806
2012-02-02,1.76074881171697e-05,8.689447309
2012-02-03,1.55420256365044e-05,8.673464149
2012-02-04,1.34565834457737e-05,8.658788108
2012-02-05,1.13677975488715e-05,8.644073698
2012-02-06,9.29230394969181e-06,8.630986719
2012-02-07,7.24673865212838e-06,8.616553385
2012-02-08,5.24773766007515e-06,8.600969705
2012-02-09,3.31193697742601e-06,8.585226997
2012-02-10,1.45597260807485e-06,8.570753038
2012-02-11,0,8.556830382
2012-02-12,0,8.542569184
2012-02-13,0,8.526150174
2012-02-14,0,8.509373438
2012-02-15,0,8.496078472
2012-02-16,0,8.480416319
2012-02-17,0,8.465858507
2012-02-18,0,8.451583333
2012-02-19,0,8.436159983
2012-02-20,0,8.422517361
2012-02-21,0,8.406621336
2012-02-22,0,8.394758941
2012-02-23,0,8.382639757
2012-02-24,0,8.367964149
2012-02-25,0,8.353632292
2012-02-26,0,8.340540017
2012-02-27,0,8.329392882
2012-02-28,6.65667972743366e-07,8.31703151
2012-02-29,3.48743429589297e-06,8.160315972
2012-03-01,6.72175701021837e-06,8.298054514
2012-03-02,1.03763644328562e-05,8.28509566
2012-03-03,1.44233541339145e-05,8.273259635
2012-03-04,1.8825915996744e-05,8.260993056
2012-03-05,2.35472399046954e-05,8.248926042
2012-03-06,2.85505157411194e-05,8.235641319
2012-03-07,3.37989333893668e-05,8.222844184
2012-03-08,3.92556827327884e-05,8.208782813
2012-03-09,4.48839536547349e-05,8.189524045
2012-03-10,5.0646936038557e-05,8.182516233
2012-03-11,5.65078197676055e-05,8.170592882
2012-03-12,6.24297947252312e-05,8.152598958
2012-03-13,6.83760507947847e-05,8.121592708
2012-03-14,7.43097778596168e-05,8.110455122
2012-03-15,8.01941658030783e-05,8.105607552
2012-03-16,8.599240450852e-05,8.103417101
2012-03-17,9.16676838592924e-05,8.093062934
2012-03-18,9.71831937387465e-05,8.081283941
2012-03-19,0.000102502124030233,8.066182899
2012-03-20,0.000107587664617102,8.050331337
2012-03-21,0.000112403005382706,8.039194358
2012-03-22,0.000116911336210394,8.024044965
2012-03-23,0.000121075846983517,8.012403559
2012-03-24,0.000124859727585426,7.998782465
2012-03-25,0.000128226167899473,7.987647743
2012-03-26,0.000131138357809006,7.976660156
2012-03-27,0.000133559487197379,7.955441146
2012-03-28,0.00013545274594794,7.926306424
2012-03-29,0.000136781323944041,7.937303212
2012-03-30,0.000137508411069032,7.933081597
2012-03-31,0.000137597197206265,7.928415885
2012-04-01,0.00013701087223909,7.920444184
2012-04-02,0.000135738923497769,7.910696181
2012-04-03,0.00013387602810021,7.902563194
2012-04-04,0.000131543160611232,7.893817448
2012-04-05,0.000128861295595654,7.883498209
2012-04-06,0.000125951407618295,7.877644965
2012-04-07,0.000122934471243975,7.870596007
2012-04-08,0.000119931461037512,7.864099132
2012-04-09,0.000117063351563727,7.857564931
2012-04-10,0.000114451117387436,7.849997049
2012-04-11,0.000112215733073461,7.844892969
2012-04-12,0.00011047817318662,7.825011886
2012-04-13,0.000109359412291732,7.823959809
2012-04-14,0.000108980424953616,7.814915972
2012-04-15,0.000109462185737092,7.807178906
2012-04-16,0.000110925669206978,7.787233941
2012-04-17,0.000113491849928094,7.781059288
2012-04-18,0.000117281702465259,7.783897656
2012-04-19,0.000122416201383291,7.787077778
2012-04-20,0.000129016321247011,7.782052778
2012-04-21,0.000137203036621237,7.774456684
2012-04-22,0.000147097322070788,7.76594809
2012-04-23,0.000158820152160483,7.739963196
2012-04-24,0.000172492501455142,7.853696875
2012-04-25,0.000188235344519584,7.848239583
2012-04-26,0.000206169655918628,7.846525052
2012-04-27,0.000226416410217092,7.84163125
2012-04-28,0.000249096581979797,7.838733333
2012-04-29,0.00027433114577156,7.836429167
2012-04-30,0.000302241076157202,7.834858333
2012-05-01,0.000332947347701542,7.831373958
2012-05-02,0.000366510592726356,7.83024375
2012-05-03,0.000402750074581255,7.827764583
2012-05-04,0.000441424714372807,7.825546875
2012-05-05,0.000482293433207581,7.823521875
2012-05-06,0.000525115152192145,7.821771875
2012-05-07,0.000569648792433068,7.819855208
2012-05-08,0.000615653275036917,7.817370833
2012-05-09,0.000662887521110261,7.814378125
2012-05-10,0.000711110451759669,7.813971875
2012-05-11,0.000760080988091708,7.813217708
2012-05-12,0.000809558051212947,7.811527083
2012-05-13,0.000859300562229956,7.81084375
2012-05-14,0.0009090674422493,7.810404167
2012-05-15,0.000958617612377551,7.810120833
2012-05-16,0.00100770999372127,7.810627155
2012-05-17,0.00105610350738704,7.841669133
2012-05-18,0.00110355707448142,7.809101042
2012-05-19,0.00114982961611097,7.808408333
2012-05-20,0.00119468005338227,7.809158333
2012-05-21,0.00123786730740189,7.810035417
2012-05-22,0.00127915029927639,7.839107558
2012-05-23,0.00131828795011234,7.961429196
2012-05-24,0.00135503918101632,7.871901042
2012-05-25,0.00138916291309488,7.877258681
2012-05-26,0.0014204180674546,7.876529514
2012-05-27,0.00144856356520205,7.890738715
2012-05-28,0.00147335832744379,7.880417535
2012-05-29,0.00149456127528639,7.874762153
2012-05-30,0.00151193132983642,7.873756944
2012-05-31,0.00152522741220045,7.87337934
2012-06-01,0.00153420844348505,7.875223958
2012-06-02,0.00153871009433,7.876257813
2012-06-03,0.00153887503350795,7.878112847
2012-06-04,0.00153492267932477,7.880169271
2012-06-05,0.00152707245008631,7.883741319
2012-06-06,0.00151554376409845,7.888146701
2012-06-07,0.00150055603966705,7.889326389
2012-06-08,0.00148232869509797,7.893948785
2012-06-09,0.00146108114869707,7.898993056
2012-06-10,0.00143703281877023,7.907236111
2012-06-11,0.00141040312362331,7.914427083
2012-06-12,0.00138141148156216,7.944109375
2012-06-13,0.00135027731089267,7.933811632
2012-06-14,0.00131722002992068,7.940480035
2012-06-15,0.00128245905695207,7.947952257
2012-06-16,0.00124621381029269,7.968788194
2012-06-17,0.00120870370824842,7.960366319
2012-06-18,0.00117014816912512,7.976633508
2012-06-19,0.00113076661122865,7.963882609
2012-06-20,0.00109077845286487,7.969986111
2012-06-21,0.00105040311233966,7.977802951
2012-06-22,0.00100986000795888,7.986051215
2012-06-23,0.000969368558028383,7.992958333
2012-06-24,0.000929148180854043,8.018145833
2012-06-25,0.000889418294741723,8.014582465
2012-06-26,0.000850398317997288,8.02447309
2012-06-27,0.000812307668926601,8.056513889
2012-06-28,0.000775365765835528,8.090587674
2012-06-29,0.000739792027029932,8.064957465
2012-06-30,0.000705805870815679,8.075892361
2012-07-01,0.000673626715498632,8.084972222
2012-07-02,0.000643424139388736,8.142161458
2012-07-03,0.000615168360812254,8.105592014
2012-07-04,0.000588779758099529,8.153703125
2012-07-05,0.000564178709580903,8.163173611
2012-07-06,0.000541285593586718,8.141291667
2012-07-07,0.000520020788447317,8.140704861
2012-07-08,0.000500304672493043,8.141001736
2012-07-09,0.000482057624054237,8.148684896
2012-07-10,0.000465200021461243,8.152592882
2012-07-11,0.000449652243044404,8.163677951
2012-07-12,0.00043533466713406,8.174864583
2012-07-13,0.000422167672060556,8.182612847
2012-07-14,0.000410071636154234,8.1929375
2012-07-15,0.000398966937745436,8.199351563
2012-07-16,0.000388773955164505,8.22358941
2012-07-17,0.000379413066741782,8.233182292
2012-07-18,0.000370804650807612,8.246713542
2012-07-19,0.000362869085692336,8.368576545
2012-07-20,0.000355526749726297,8.425839988
2012-07-21,0.000348698021239837,8.436172743
2012-07-22,0.000342303278563299,8.418854456
2012-07-23,0.000336262900027025,8.426589265
2012-07-24,0.000330497263961359,8.438194734
2012-07-25,0.000324926748696642,8.449758681
2012-07-26,0.000319471732563217,8.461891782
2012-07-27,0.000314052593891426,8.473677662
2012-07-28,0.000308589711011612,8.487565538
2012-07-29,0.000303003462254118,8.517021412
2012-07-30,0.000297214225949286,8.518638744
2012-07-31,0.000291142380427459,8.532163194
2012-08-01,0.000284708304018979,8.549100405
2012-08-02,0.000277850700214978,8.563339699
2012-08-03,0.000270581573149748,8.579254919
2012-08-04,0.00026293125211837,8.594582321
2012-08-05,0.000254930066415924,8.616020833
2012-08-06,0.000246608345337492,8.637582321
2012-08-07,0.000237996418178154,8.64345544
2012-08-08,0.000229124614232992,8.656865885
2012-08-09,0.000220023262797086,8.671096209
2012-08-10,0.000210722693165518,8.685898003
2012-08-11,0.000201253234633368,8.704024016
2012-08-12,0.000191645216495717,8.715405093
2012-08-13,0.000181928968047647,8.733504916
2012-08-14,0.000172134818584238,8.749787616
2012-08-15,0.000162293097400571,8.761582176
2012-08-16,0.000152434133791728,8.777980903
2012-08-17,0.000142588257052789,8.792881655
2012-08-18,0.000132785796478835,8.808492622
2012-08-19,0.000123057081364947,8.823681713
2012-08-20,0.000113432441006207,8.839337095
2012-08-21,0.000103942204697694,8.86529564
2012-08-22,9.46167017344906e-05,8.874285156
2012-08-23,8.54862614116772e-05,8.890536458
2012-08-24,7.65812130243348e-05,8.906744936
2012-08-25,6.79318858675444e-05,8.922462529
2012-08-26,5.95686092363869e-05,8.938308594
2012-08-27,5.15217124259434e-05,8.989379305
2012-08-28,4.38215247312948e-05,9.015480613
2012-08-29,3.6498375447522e-05,9.057723524
2012-08-30,2.9582593869706e-05,9.033448351
2012-08-31,2.31045092929279e-05,9.040606047
2012-09-01,1.70944510122684e-05,9.050809317
2012-09-02,1.15751609808129e-05,9.062112558
2012-09-03,6.53903178366267e-06,9.082020255
2012-09-04,1.97086866392329e-06,9.128119647
2012-09-05,0,9.15831896
2012-09-06,0,9.148516059
2012-09-07,0,9.146867477
2012-09-08,0,9.150015914
2012-09-09,0,9.161301215
2012-09-10,0,9.188688802
2012-09-11,0,9.196408999
2012-09-12,0,9.208684606
2012-09-13,0,9.220563223
2012-09-14,0,9.225990885
2012-09-15,0,9.235241898
2012-09-16,0,9.246032263
2012-09-17,0,9.255887442
2012-09-18,0,9.265842882
2012-09-19,0,9.277998987
2012-09-20,0,9.288752025
2012-09-21,0,9.299920862
2012-09-22,0,9.318577112
2012-09-23,0,9.327858073
2012-09-24,0,9.335315104
2012-09-25,0,9.34655816
2012-09-26,0,9.357057147
2012-09-27,0,9.373003906
2012-09-28,0,9.385556713
2012-09-29,0,9.394328848
2012-09-30,0,9.404677517
2012-10-01,2.71050543121376e-20,9.420175926
2012-10-02,2.36729431505973e-06,9.44269647
2012-10-03,4.77077815620596e-06,9.451906829
2012-10-04,7.20412816515851e-06,9.456102286
2012-10-05,9.66102098363722e-06,9.465143953
2012-10-06,1.21351332533619e-05,9.477127749
2012-10-07,1.46201416160524e-05,9.481133681
2012-10-08,1.71097227134286e-05,9.495119883
2012-10-09,1.95975531872102e-05,9.49777228
2012-10-10,2.20773096791171e-05,9.528219039
2012-10-11,2.45426688308691e-05,9.527945747
2012-10-12,2.69873072841861e-05,9.522044162
2012-10-13,2.94049016807879e-05,9.522878617
2012-10-14,3.17891286623943e-05,9.528263744
2012-10-15,3.41336648707251e-05,9.534595631
2012-10-16,3.64321869475002e-05,9.541628189
2012-10-17,3.86783715344394e-05,9.546564381
2012-10-18,4.08658952732626e-05,9.551426081
2012-10-19,4.29884348056894e-05,9.55612858
2012-10-20,4.50396667734399e-05,9.560378183
2012-10-21,4.70132678182338e-05,9.564855469
2012-10-22,4.89029145817909e-05,9.569733218
2012-10-23,5.07022837058311e-05,9.57366276
2012-10-24,5.24050518320742e-05,9.579029225
2012-10-25,5.40048956022401e-05,9.581853612
2012-10-26,5.54954916580485e-05,9.58589945
2012-10-27,5.68705166412193e-05,9.585770689
2012-10-28,5.81236471934723e-05,9.586379485
2012-10-29,5.92485599565273e-05,9.588190828
2012-10-30,6.02389315721042e-05,9.589762008
2012-10-31,6.10884386819228e-05,9.589940683
2012-11-01,6.1790757927703e-05,9.589166377
2012-11-02,6.23417856582281e-05,9.588688947
2012-11-03,6.27462970505363e-05,9.588241319
2012-11-04,6.30112869887291e-05,9.585860098
2012-11-05,6.31437503569082e-05,9.586083333
2012-11-06,6.31506820391753e-05,9.586011429
2012-11-07,6.30390769196319e-05,9.585349537
2012-11-08,6.28159298823799e-05,9.584624855
2012-11-09,6.24882358115207e-05,9.582883536
2012-11-10,6.20629895911561e-05,9.578310041
2012-11-11,6.15471861053877e-05,9.57702228
2012-11-12,6.09478202383171e-05,9.574958478
2012-11-13,6.0271886874046e-05,9.572426505
2012-11-14,5.95263808966761e-05,9.568319155
2012-11-15,5.8718297190309e-05,9.565392361
2012-11-16,5.78546306390463e-05,9.561905816
2012-11-17,5.69423761269897e-05,9.557581742
2012-11-18,5.59885285382408e-05,9.552962095
2012-11-19,5.50000827569014e-05,9.547233971
2012-11-20,5.3984033667073e-05,9.548489583
2012-11-21,5.29473761528572e-05,9.552719358
2012-11-22,5.18971050983558e-05,9.547814149
2012-11-23,5.08402153876704e-05,9.543580035
2012-11-24,4.97837019049027e-05,9.536599045
2012-11-25,4.87345595341542e-05,9.528864497
2012-11-26,4.76997831595266e-05,9.520758767
2012-11-27,4.66863676651217e-05,9.505550434
2012-11-28,4.57013079350409e-05,9.500782899
2012-11-29,4.47515988533861e-05,9.494692535
2012-11-30,4.38442353042587e-05,9.487092969
2012-12-01,4.29862121717606e-05,9.477139149
2012-12-02,4.21818717123752e-05,9.467709635
2012-12-03,4.14249456721136e-05,9.459644705
2012-12-04,4.07065131693688e-05,9.449854958
2012-12-05,4.0017653322534e-05,9.440993056
2012-12-06,3.9349445250002e-05,9.430526302
2012-12-07,3.86929680701659e-05,9.421366406
2012-12-08,3.80393009014188e-05,9.412034028
2012-12-09,3.73795228621536e-05,9.402323264
2012-12-10,3.67047130707633e-05,9.390975
2012-12-11,3.6005950645641e-05,9.380705903
2012-12-12,3.52743147051796e-05,9.370984983
2012-12-13,3.45008843677722e-05,9.357463676
2012-12-14,3.36767387518119e-05,9.350176389
2012-12-15,3.27929569756916e-05,9.339008507
2012-12-16,3.18406181578043e-05,9.328330816
2012-12-17,3.0810801416543e-05,9.317720833
2012-12-18,2.96945858703008e-05,9.30632309
2012-12-19,2.84830506374707e-05,9.295710417
2012-12-20,2.71672748364457e-05,9.282416102
2012-12-21,2.57383375856188e-05,9.272749045
2012-12-22,2.4187318003383e-05,9.261270139
2012-12-23,2.25052952081313e-05,9.249195573
2012-12-24,2.06833483182568e-05,9.237287326
2012-12-25,1.87125564521525e-05,9.225378646
2012-12-26,1.65839987282113e-05,9.212625347
2012-12-27,1.42887542648264e-05,9.198507912
2012-12-28,1.18179021803906e-05,9.186323351
2012-12-29,9.16252159329708e-06,9.167306771
2012-12-30,6.31369162193879e-06,9.156796007
2012-12-31,3.26249138470876e-06,9.132720747
2013-01-01,0,9.119438542
2013-01-02,0,9.105671528
2013-01-03,0,9.092371788
2013-01-04,0,9.080059635
2013-01-05,0,9.065313194
2013-01-06,0,9.046562587
2013-01-07,0,9.030281337
2013-01-08,0,9.021064757
2013-01-09,0,9.007758333
2013-01-10,0,8.993948351
2013-01-11,0,8.980482031
2013-01-12,0,8.967016406
2013-01-13,0,8.954565712
2013-01-14,0,8.941146181
2013-01-15,0,8.92727934
2013-01-16,0,8.914307552
2013-01-17,0,8.899194565
2013-01-18,0,8.887146701
2013-01-19,0,8.873432465
2013-01-20,0,8.859861198
2013-01-21,0,8.846851649
2013-01-22,0,8.832152257
2013-01-23,0,8.818774132
2013-01-24,0,8.804836979
2013-01-25,0,8.790504948
2013-01-26,0,8.776591146
2013-01-27,0,8.761384896
2013-01-28,0,8.746490799
2013-01-29,0,8.732046181
2013-01-30,0,8.716753819
2013-01-31,0,8.702611806
2013-02-01,0,8.689447309
2013-02-02,1.06694866867124e-05,8.673464149
2013-02-03,2.22370536114241e-05,8.658788108
2013-02-04,3.45078839373855e-05,8.644073698
2013-02-05,4.72871608278471e-05,8.630986719
2013-02-06,6.03800674460592e-05,8.616553385
2013-02-07,7.35917869552723e-05,8.600969705
2013-02-08,8.67275025187367e-05,8.585226997
2013-02-09,9.95923972997028e-05,8.570753038
2013-02-10,0.000111991654461421,8.556830382
2013-02-11,0.000123730457167142,8.542569184
2013-02-12,0.000134613988580115,8.526150174
2013-02-13,0.000144447431863592,8.509373438
2013-02-14,0.000153035970180823,8.496078472
2013-02-15,0.000160184786695058,8.480416319
2013-02-16,0.000165699064569547,8.465858507
2013-02-17,0.000169383986967541,8.451583333
2013-02-18,0.000171044737052291,8.436159983
2013-02-19,0.000170486497987046,8.422517361
2013-02-20,0.000167514452935058,8.406621336
2013-02-21,0.000161933785059575,8.394758941
2013-02-22,0.00015354967752385,8.382639757
2013-02-23,0.000142167313491132,8.367964149
2013-02-24,0.000127591876124672,8.353632292
2013-02-25,0.00010962854858772,8.340540017
2013-02-26,8.8082514043526e-05,8.329392882
2013-02-27,6.27589556553413e-05,8.31703151
2013-02-28,3.34630565864157e-05,8.160315972
2013-03-01,0,8.298054514
2013-03-02,0,8.28509566
2013-03-03,0,8.273259635
2013-03-04,0,8.260993056
2013-03-05,0,8.248926042
2013-03-06,0,8.235641319
2013-03-07,0,8.222844184
2013-03-08,0,8.208782813
2013-03-09,0,8.189524045
2013-03-10,0,8.182516233
2013-03-11,0,8.170592882
2013-03-12,0,8.152598958
2013-03-13,0,8.121592708
2013-03-14,0,8.110455122
2013-03-15,0,8.105607552
2013-03-16,0,8.103417101
2013-03-17,0,8.093062934
2013-03-18,0,8.081283941
2013-03-19,0,8.066182899
2013-03-20,0,8.050331337
2013-03-21,0,8.039194358
2013-03-22,0,8.024044965
2013-03-23,0,8.012403559
2013-03-24,0,7.998782465
2013-03-25,0,7.987647743
2013-03-26,0,7.976660156
2013-03-27,0,7.955441146
2013-03-28,0,7.926306424
2013-03-29,0,7.937303212
2013-03-30,0,7.933081597
2013-03-31,0,7.928415885
2013-04-01,0,7.920444184
2013-04-02,0.000146427816999142,7.910696181
2013-04-03,0.000307187006611031,7.902563194
2013-04-04,0.000480992429973986,7.893817448
2013-04-05,0.000666558948226323,7.883498209
2013-04-06,0.00086260142250636,7.877644965
2013-04-07,0.00106783471395241,7.870596007
2013-04-08,0.0012809736837028,7.864099132
2013-04-09,0.00150073319289584,7.857564931
2013-04-10,0.00172582810266986,7.849997049
