time,flow
2012-01-01,0.00219769003715848
2012-01-02,0.00221193724136206
2012-01-03,0.00222622178680078
2012-01-04,0.0022405810147098
2012-01-05,0.00225505226632426
2012-01-06,0.00226967288287931
2012-01-07,0.00228448020561011
2012-01-08,0.00229951157575179
2012-01-09,0.0023148043345395
2012-01-10,0.0023303958232084
2012-01-11,0.00234632338299363
2012-01-12,0.00236262435513034
2012-01-13,0.00237933608085368
2012-01-14,0.00239649590139879
2012-01-15,0.00241414115800083
2012-01-16,0.00243230919189494
2012-01-17,0.00245103734431627
2012-01-18,0.00247036295649996
2012-01-19,0.00249032336968117
2012-01-20,0.00251095592509504
2012-01-21,0.00253229796397672
2012-01-22,0.00255438682756137
2012-01-23,0.00257725985708411
2012-01-24,0.00260095439378012
2012-01-25,0.00262550777888452
2012-01-26,0.00265095735363248
2012-01-27,0.00267734045925913
2012-01-28,0.00270469443699964
2012-01-29,0.00273305662808913
2012-01-30,0.00276246437376277
2012-01-31,0.0027929550152557
2012-02-01,0.00282456589380307
2012-02-02,0.00285729225408223
2012-02-03,0.00289096095453936
2012-02-04,0.00292535675706284
2012-02-05,0.00296026442354106
2012-02-06,0.00299546871586241
2012-02-07,0.00303075439591527
2012-02-08,0.00306590622558802
2012-02-09,0.00310070896676904
2012-02-10,0.00313494738134673
2012-02-11,0.00316840623120946
2012-02-12,0.00320087027824562
2012-02-13,0.00323212428434359
2012-02-14,0.00326195301139177
2012-02-15,0.00329014122127852
2012-02-16,0.00331647367589225
2012-02-17,0.00334073513712132
2012-02-18,0.00336271036685414
2012-02-19,0.00338218412697907
2012-02-20,0.00339894117938451
2012-02-21,0.00341276628595883
2012-02-22,0.00342344420859043
2012-02-23,0.00343075970916769
2012-02-24,0.00343449754957899
2012-02-25,0.00343444249171271
2012-02-26,0.00343037929745725
2012-02-27,0.00342209272870098
2012-02-28,0.00340936754733229
2012-02-29,0.00339198851523957
2012-03-01,0.00336974039431119
2012-03-02,0.00334249243501036
2012-03-03,0.00331045184209948
2012-03-04,0.00327391030891578
2012-03-05,0.00323315952879649
2012-03-06,0.00318849119507883
2012-03-07,0.00314019700110003
2012-03-08,0.00308856864019731
2012-03-09,0.0030338978057079
2012-03-10,0.00297647619096902
2012-03-11,0.0029165954893179
2012-03-12,0.00285454739409175
2012-03-13,0.00279062359862782
2012-03-14,0.00272511579626331
2012-03-15,0.00265831568033546
2012-03-16,0.00259051494418149
2012-03-17,0.00252200528113862
2012-03-18,0.00245307838454409
2012-03-19,0.00238402594773511
2012-03-20,0.00231513966404891
2012-03-21,0.00224671122682272
2012-03-22,0.00217903232939375
2012-03-23,0.00211239466509924
2012-03-24,0.00204708992727641
2012-03-25,0.00198340980926249
2012-03-26,0.00192164600439469
2012-03-27,0.00186209020601024
2012-03-28,0.00180503410744638
2012-03-29,0.00175076940204032
2012-03-30,0.00169958778312929
2012-03-31,0.00165178094405051
2012-04-01,0.00160764057814121
2012-04-02,0.00156737304721081
2012-04-03,0.00153084338695754
2012-04-04,0.00149783130155184
2012-04-05,0.00146811649516414
2012-04-06,0.00144147867196486
2012-04-07,0.00141769753612443
2012-04-08,0.00139655279181329
2012-04-09,0.00137782414320186
2012-04-10,0.00136129129446058
2012-04-11,0.00134673394975987
2012-04-12,0.00133393181327017
2012-04-13,0.00132266458916191
2012-04-14,0.00131271198160552
2012-04-15,0.00130385369477142
2012-04-16,0.00129586943283005
2012-04-17,0.00128853889995183
2012-04-18,0.00128164180030721
2012-04-19,0.0012749578380666
2012-04-20,0.00126826671740045
2012-04-21,0.00126134814247917
2012-04-22,0.0012539818174732
2012-04-23,0.00124594744655297
2012-04-24,0.00123702473388891
2012-04-25,0.00122699338365145
2012-04-26,0.00121563310001103
2012-04-27,0.00120272358713806
2012-04-28,0.00118804454920299
2012-04-29,0.00117137569037623
2012-04-30,0.00115249671482823
2012-05-01,0.00113118732672942
2012-05-02,0.00110729580013852
2012-05-03,0.00108094468866755
2012-05-04,0.00105232511581679
2012-05-05,0.00102162820508656
2012-05-06,0.000989045079977163
2012-05-07,0.000954766863988896
2012-05-08,0.000918984680622068
2012-05-09,0.000881889653376982
2012-05-10,0.000843672905753942
2012-05-11,0.000804525561253252
2012-05-12,0.000764638743375217
2012-05-13,0.000724203575620141
2012-05-14,0.000683411181488327
2012-05-15,0.000642452684480081
2012-05-16,0.000601519208095706
2012-05-17,0.000560801875835507
2012-05-18,0.000520491811199787
2012-05-19,0.000480780137688851
2012-05-20,0.000441857978803003
2012-05-21,0.000403916458042548
2012-05-22,0.000367146698907789
2012-05-23,0.00033173982489903
2012-05-24,0.000297886959516576
2012-05-25,0.000265779226260731
2012-05-26,0.0002356077486318
2012-05-27,0.000207563650130085
2012-05-28,0.000181838054255892
2012-05-29,0.000158622084509525
2012-05-30,0.000138106864391287
2012-05-31,0.000120483517401484
2012-06-01,0.000105943167040419
2012-06-02,9.46204915786291e-05
2012-06-03,8.64243883675818e-05
2012-06-04,8.12073095289776e-05
2012-06-05,7.88217071845168e-05
2012-06-06,7.91200334558999e-05
2012-06-07,8.19547404648271e-05
2012-06-08,8.71782803329988e-05
2012-06-09,9.46431051821153e-05
2012-06-10,0.000104201667133877
2012-06-11,0.000115706418309984
2012-06-12,0.000129009810832138
2012-06-13,0.000143964296822037
2012-06-14,0.000160422328401383
2012-06-15,0.000178236357691876
2012-06-16,0.000197258836815217
2012-06-17,0.000217342217893105
2012-06-18,0.000238338953047241
2012-06-19,0.000260101494399325
2012-06-20,0.000282482294071058
2012-06-21,0.000305333804184141
