time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-03-05,78.19595925,288.9600054,-2.566249593,89.59809697,2.634170701,0,0.003732
1979-03-06,195.3186674,213.2716675,-6.837917074,90.26591136,3.112199734,0,5.82E-04
1979-03-07,82.57083352,299.9287516,-2.388337199,93.65388489,4.098920925,0,1.68E-04
1979-03-08,127.6834582,297.0962486,-1.918333435,94.34470718,3.181224593,0,1.28E-04
1979-03-09,128.6804145,289.0037486,-2.107920074,93.54434909,4.321335043,0,0.002966
1979-03-10,111.2514173,221.6070824,-12.91708412,77.02270948,6.912368188,0,0
1979-03-11,140.1777496,240.1733348,-13.55749677,83.49257942,4.640279534,0,0
1979-03-12,213.2666254,191.895834,-9.32416509,86.54139945,3.490566043,0,0
1979-03-13,162.9886252,242.0254167,-4.889584605,94.51581988,5.998831487,0,0
1979-03-14,149.2827075,250.3162505,-5.723749542,80.91267926,8.901529138,0,0
1979-03-15,223.2620405,166.7337488,-15.30208435,79.40674048,5.092584697,0,0
1979-03-16,220.8004576,198.1854159,-10.01375046,90.79960561,4.763878251,0,0
1979-03-17,146.4128737,248.9479148,-3.883331045,93.55756608,4.747082756,2.78E-04,0.014067
1979-03-18,108.0517918,317.6887512,0.360835012,96.95540374,4.148991341,0.0038476,0
1979-03-19,188.0732918,311.9804204,1.252507782,94.79794316,4.78933968,0.0074484,0
1979-03-20,214.7556659,258.2345823,-0.154995982,93.55062338,2.887566133,0,1.52E-04
1979-03-21,216.6181292,252.3341688,-0.606242879,91.42981403,2.619626908,0,0
1979-03-22,200.6002493,279.1070798,0.327088928,90.47034017,2.980072157,6.20E-05,0.01224
1979-03-23,80.11383317,329.679999,1.747502899,94.35321982,5.521980091,0.036916,0
1979-03-24,121.1250819,290.8466682,-4.184581502,84.75241157,9.860870477,0.0045443,0.118731
1979-03-25,173.4757899,249.6366685,-9.487917328,81.10247446,7.473059261,0,0.021449
1979-03-26,206.4740838,217.3529161,-8.878749593,83.91557375,3.03176061,0,0
1979-03-27,251.3029139,209.1175016,-6.489997609,72.57716953,2.685766909,0,0
1979-03-28,114.3337496,251.6845862,-5.557082876,91.04524827,5.081839398,0.0013531,0.01348
1979-03-29,141.6515822,270.2591686,-0.376248423,95.58939652,4.946416316,0.0045038,0.010511
1979-03-30,164.1614575,313.2766635,1.513337708,94.76018387,5.321446589,0.0160373,0
1979-03-31,251.5115438,267.0508327,0.547505951,86.65185119,4.738369675,5.04E-05,0
1979-04-01,215.7618728,220.7145837,-3.998335266,83.1729946,4.232561191,1.65E-04,0
1979-04-02,124.1231666,292.4300003,-1.099162801,88.90543886,4.668948681,6.20E-06,0.04899
1979-04-03,250.9366267,224.4641673,-2.272081757,82.36844401,2.923231586,0,0
1979-04-04,219.592707,265.5895824,-0.330833181,78.58205347,2.131130309,2.80E-04,0.006944
1979-04-05,174.7242082,279.1000061,0.944998678,83.87656845,6.584210218,0.0026658,0.005397
1979-04-06,264.8360409,195.5270831,-8.211247508,68.42562891,10.67464351,0,0.009368
1979-04-07,140.8225826,248.7224992,-6.416665141,71.88548555,4.522345482,0,0
1979-04-08,133.1278329,304.8666623,-1.505000814,85.50494245,5.981824634,1.37E-04,3.74E-04
1979-04-09,193.7025383,274.7625008,-2.296247864,86.3687142,4.595494677,0,5.74E-04
1979-04-10,261.4333358,207.277085,-4.116663361,77.73764519,3.058413149,0,0.001172
1979-04-11,163.743293,252.222079,-3.073745473,86.19316651,7.231911766,5.07E-04,0.002686
